id,target
00034db451c4,0.00012741938
0006316b5ca0,4.9174654e-05
0006a953d21b,7.429594e-06
0008a33d6695,0.0008253818
00095b5119fc,4.17636e-05
000c99f1a336,4.2462983e-05
000cb84d12e4,1.3547111e-06
000df2799b46,7.681694e-05
000e43012936,5.509245e-06
001004691ca1,2.671198e-05
001079f916aa,0.00017344819
0010ba102af6,7.867841e-07
001362ee8003,9.035668e-06
00146b90b615,2.627959e-06
0014cec328e2,9.843036e-05
0017fde8aac6,6.0604398e-05
001abaa506e0,0.0038309218
001d29c82d80,3.9914812e-05
001d7eb3f9cb,1.0
001e82ba9d4a,5.86433e-07
001ff76166aa,0.99999845
002081441070,2.348967e-06
002993108442,5.2338887e-06
002aa50ee6f8,2.7642722e-05
002c8b6ca2e0,1.989511e-08
002c8e761d37,2.1773676e-05
002cc96b1041,5.0808104e-08
002d5868b367,1.0
002f61bfb7bc,0.00018189164
00308b3bb6c1,0.0006723846
003158b73592,1.9152858e-06
0035fec8b66c,8.266225e-06
003642d935de,1.7437594e-08
00369b7adbb0,3.9138493e-05
0038bd619d2e,6.458367e-06
003954c7e391,1.0
0039db15867a,0.02993845
003b5326af50,0.99914753
003d449ce211,0.00024307221
003e2ff24826,0.00022099898
00426b858d0f,4.1056005e-06
0048665c3d4b,0.004177669
00490c163a81,6.0583994e-07
004a64b5f80b,7.867063e-05
004b61a2cb4a,4.7341473e-05
004c5b3fee8b,0.00073329953
004d18dd0a8f,1.47963865e-05
004fd85f815e,0.17036033
004ffa352164,1.1906248e-08
00514562e9f5,3.4828356e-06
00540e056868,0.0013072392
0054f701205f,0.00068165746
00590ab75c5a,3.6584373e-05
005d3ddc13e8,5.570895e-07
005dcee1f5e6,2.1273501e-05
005de9e5e4e4,1.0915187e-05
005e0a2d415b,0.99999976
005e68b19159,0.020816019
005e6a127258,0.986232
005f27d56543,3.0335607e-06
0066c77058e7,1.0
006b71f5f5d5,0.0021746268
006c9714ee57,0.026641686
006e17e9c8c8,0.03228298
006f083fe7fc,0.0006018887
006f9d4f4dd4,1.0
007145d98dd7,5.3326512e-05
00718207ac54,2.4576098e-06
0073f705904b,3.8617767e-08
0077752b77a4,1.337356e-05
0077d7d02cd6,0.00375337
00781f951b9c,8.503209e-06
007a51059ce8,4.7249014e-07
007f276f3736,2.4194422e-08
007fbf319b1f,1.3972908e-05
00800bea3d72,1.053044e-06
0081edfe7688,1.0
0083559b8d51,0.008654674
00850965ce8a,1.0
0086c2ef4c58,1.3669402e-06
0088d82327b3,2.4390426e-06
0089870c2a85,3.0002122e-06
0089ff637c53,1.0
008baa558d52,2.9594661e-05
009110105b31,1.2691551e-06
0091ae0f941e,1.0
0094bea627b4,1.0
0095262c72b1,1.0
